_score,rtype,label,link,term
12.000004,influencer,*Behind the Scenes NYC* @behindthescenesnyc,/behindthescenesnyc,beh
15.000003,influencer,*Bei Kuo* @beikuo,/beikuo,bei
12.000004,influencer,,/beingdifferentisgood,bei
12.000003,influencer,*Ruchika Mehta* @beirutescortsgirls,/beirutescortsgirls,bei
11.000004,influencer,*Bahae Eddine Bej10 Freestyle* @bej10freestyle,/bej10freestyle,bej
11.000003,influencer,*Bejoy* @bejoy4679,/bejoy4679,bej
11.000003,influencer,*Bejtush Cimili* @bejtush_cimili,/bejtush_cimili,bej
6.000003,influencer,*Be JAGRUK* @bejagruk,/bejagruk,bej
15.000003,influencer,*bekewe9385* @bekewe9385,/bekewe9385,bek
15.000003,influencer,,/bekah_official,bek
14.000003,influencer,*Laurence Bekaert* @bekaert.laurence,/bekaert.laurence,bek
12.000003,influencer,*Bekah Ratliff* @bekah.ratliff,/bekah.ratliff,bek
12.000003,influencer,*Bek Strachan* @bekstrachan,/bekstrachan,bek
11.000003,influencer,*Bekkie Saayman* @bekkie_saayman,/bekkie_saayman,bek
19.000004,influencer,*Belen * @belenmartinezfotografia,/belenmartinezfotografia,bel
19.000004,influencer,*Belleville Painters New Jersey* @bellevillepainters,/bellevillepainters,bel
19.000004,influencer,*BELAIR MITSI WRECKERS* @belairmitsi,/belairmitsi,bel
15.000003,influencer,*bembenikklaudia* @bembenikklaudia,/bembenikklaudia,bem
15.000003,influencer,*Bema Bonnaka* @bemabonnaka,/bemabonnaka,bem
11.000003,influencer,*bembasfashionpage* @bembasfashionpage,/bembasfashionpage,bem
11.000003,influencer,*BEMEKIS* @bemekis,/bemekis,bem
19.000004,influencer,*Benjamin Gordon Palm Beach* @benjamingordon48,/benjamingordon48,ben
19.000004,influencer,*Benjamin Gordon Cambridge Capital* @benjamingordoncambridgecapital,/benjamingordoncambridgecapital,ben
19.000004,influencer,*Benjamin Gordon Palm Beach* @benjamingordon845,/benjamingordon845,ben
19.000004,influencer,*benhvienkhoa* @benhvienkhoa,/benhvienkhoa,ben
19.000004,influencer,*Benjamin Gordon * @benjamingordon8,/benjamingordon8,ben
19.000004,influencer,*Benjamin Gordon Palm Beach* @benjamingordon778,/benjamingordon778,ben
19.000004,influencer,*Benjamin Gordon Palm Beach* @benjamingordon31,/benjamingordon31,ben
11.000003,influencer,*beomgyu09* @beomgyu09,/beomgyu09,beo
11.000003,influencer,*Popusti Beograd /Beopopust.rs* @beopopust.rs,/beopopust.rs,beo
11.000003,influencer,*beoboii* @beoboii,/beoboii,beo
6.0000033,influencer,*Be or not to be* @beor_nottobe8,/beor_nottobe8,beo
14.000003,influencer,*bepnamduong* @bepnamduong,/bepnamduong,bep
11.000004,influencer,*Bepper/Kosho* @bepperyt,/bepperyt,bep
11.000004,influencer,*bep3b* @bep3b,/bep3b,bep
1.0000032,influencer,*Prima Kapseln Abnehmen* @primakapselnschweiz,/primakapselnschweiz,beq
1.0000032,influencer,*racellbequillo* @racellbequillo,/racellbequillo,beq
15.000004,influencer,*Ber Ferreira* @ber.ferreira,/ber.ferreira,ber
15.000003,influencer,*Berenise Zito* @berenisezito,/berenisezito,ber
15.000003,influencer,*berliana* @berlianadya28,/berlianadya28,ber
19.000004,influencer,*Better Today Herbal Drops* @bettertodayherbaldrops,/bettertodayherbaldrops,bet
19.000004,influencer,*bets10* @bets10,/bets10,bet
11.000004,influencer,*Beu* @beu,/beu,beu
11.000003,influencer,*BeUnike* @beunikeofficial,/beunikeofficial,beu
11.000003,influencer,*beutelkye25gmail.com* @beutelkye25gmail.com,/beutelkye25gmail.com,beu
11.000003,influencer,*Beulah Margaret* @beulahnissi,/beulahnissi,beu
14.000003,influencer,*Beverly Tan* @beverlytanfilm,/beverlytanfilm,bev
13.000003,influencer,*Easy Birth pool* @bevallingsbad_kopen,/bevallingsbad_kopen,bev
13.000003,influencer,*The Artist Tree - Beverly Hills Dispensary* @cbdbeverlyhills,/cbdbeverlyhills,bev
12.000003,influencer,*Beverage Props* @beverageprops,/beverageprops,bev
12.000003,influencer,*Beverley Blanquart* @beverley_blanquart,/beverley_blanquart,bev
12.000003,influencer,*Beverley Scott* @beverbeeee,/beverbeeee,bev
